id;Ordem_de_produção;Data_da_ordem_de_produção;Produto;Comprimento_unit;Largura_unit;Altura_unit;Peso_unit;Peças;Caixa_padrão;Loja;Classe_de_onda;Tipo_de_buffer;Item_pai;Cor;Tamanho;Inner;Rota;Capacidade;pai_cor;chave_loja_buffer_onda;Volume_unit;Volume_total;Peso_total;item_loja;Pecas_alocadas;Amt_in_bin;bin_index
6061_2;1781;2023-11-07;841256123;264;113;47;0.12;19;CARTON_M;3;9;CX;1861;54.0;12;1;5;27200000000.0;1861_54.0;3_CX_9;1402104;26639976;9.12;245;19;57;5
6066;139;2023-11-07;859844821;254;176;109;0.36;4;CARTON_M;3;9;CX;248;4.0;4;1;5;27200000000.0;248_4.0;3_CX_9;4872736;19490944;1.44;250;4;57;5
6051;444;2023-11-07;871246954;247;179;47;0.4;1;CARTON_M;3;9;CX;1130;63.0;5;1;5;27200000000.0;1130_63.0;3_CX_9;2078011;2078011;0.4;235;1;57;5
20297_2;10965;2023-11-11;884448011;127;104;15;0.033;1;CARTON_M;3;9;CX;2934;41.0;12;1;5;27200000000.0;2934_41.0;3_CX_9;198120;198120;0.099;410;1;57;5
23795_2;6237;2023-11-13;884454120;80;24;8;0.04;4;CARTON_M;3;9;CX;2250;18.0;12;1;5;27200000000.0;2250_18.0;3_CX_9;15360;61440;0.48;603;4;57;5
23795_3;6237;2023-11-13;884454120;80;24;8;0.04;4;CARTON_M;3;9;CX;2250;18.0;12;1;5;27200000000.0;2250_18.0;3_CX_9;15360;61440;0.48;603;4;57;5
37135;1639;2023-11-07;624636226;490;427;77;0.46;14;CARTON_M;31;3;EN;216;4.0;1;1;10;27200000000.0;216_4.0;31_EN_3;16110710;225549940;6.44;1062;14;14;6
37129;1639;2023-11-07;739252206;441;300;33;0.407;29;CARTON_M;31;3;EN;216;379.0;1;1;10;27200000000.0;216_379.0;31_EN_3;4365900;126611100;11.802999999999999;1056;29;29;7
37133;1639;2023-11-07;624636200;518;392;95;0.44;5;CARTON_M;31;3;EN;216;4.0;3;1;10;27200000000.0;216_4.0;31_EN_3;19290320;96451600;2.2;1060;5;5;8
37140;1965;2023-11-07;550056615;362;281;69;0.16;13;CARTON_M;31;3;EN;290;210.0;5;1;10;27200000000.0;290_210.0;31_EN_3;7018818;91244634;2.08;1067;13;13;9
36235;1927;2023-11-07;550056615;362;281;69;0.16;11;CARTON_M;2;3;EN;290;210.0;5;1;11;27200000000.0;290_210.0;2_EN_3;7018818;77206998;1.76;1320;11;11;10
37131;1639;2023-11-07;739252222;498;300;35;0.327;14;CARTON_M;31;3;EN;216;379.0;3;1;10;27200000000.0;216_379.0;31_EN_3;5229000;73206000;4.578;1058;14;15;11
37138;1370;2023-11-07;547181108;460;230;22;0.145;1;CARTON_M;31;3;EN;282;3.0;5;1;10;27200000000.0;282_3.0;31_EN_3;2327600;2327600;0.145;1065;1;15;11
36244;1139;2023-11-07;807045656;445;359;43;0.283;10;CARTON_M;2;3;EN;290;332.0;1;1;11;27200000000.0;290_332.0;2_EN_3;6869465;68694650;2.8299999999999996;1329;10;11;12
36242;9301;2023-11-07;807045584;522;186;70;0.275;1;CARTON_M;2;3;EN;290;218.0;13;1;11;27200000000.0;290_218.0;2_EN_3;6796440;6796440;0.275;1327;1;11;12
36239;2448;2023-11-07;807045550;517;185;70;0.305;10;CARTON_M;2;3;EN;290;218.0;1;1;11;27200000000.0;290_218.0;2_EN_3;6695150;66951500;3.05;1324;10;11;13
36209;3483;2023-11-07;839447377;344;415;53;0.347;1;CARTON_M;2;3;EN;1202;175.0;1;1;11;27200000000.0;1202_175.0;2_EN_3;7566280;7566280;0.347;1294;1;11;13
36241;6889;2023-11-07;807045568;516;188;68;0.3;10;CARTON_M;2;3;EN;290;218.0;5;1;11;27200000000.0;290_218.0;2_EN_3;6596544;65965440;3.0;1326;10;12;14
36213;1696;2023-11-07;552081224;451;285;37;0.327;2;CARTON_M;2;3;EN;1202;22.0;6;1;11;27200000000.0;1202_22.0;2_EN_3;4755795;9511590;0.654;1298;2;12;14
36245;3377;2023-11-07;807045664;432;334;41;0.273;10;CARTON_M;2;3;EN;290;332.0;5;1;11;27200000000.0;290_332.0;2_EN_3;5915808;59158080;2.7300000000000004;1330;10;14;15
36234;8677;2023-11-07;836446125;447;352;41;0.283;2;CARTON_M;2;3;EN;290;135.0;6;1;11;27200000000.0;290_135.0;2_EN_3;6451104;12902208;0.566;1319;2;14;15
36262;5232;2023-11-07;551790213;416;251;16;0.132;2;CARTON_M;2;3;EN;883;4.0;1;1;11;27200000000.0;883_4.0;2_EN_3;1670656;3341312;0.264;1347;2;14;15
37230;68;2023-11-07;843672948;485;377;30;0.233;6;CARTON_M;33;3;EN;353;4.0;1;1;1;inf;353_4.0;33_EN_3;5485350;32912100;1.3980000000000001;980;6;19;16
37227;68;2023-11-07;843672921;468;354;24;0.233;5;CARTON_M;33;3;EN;353;4.0;6;1;1;inf;353_4.0;33_EN_3;3976128;19880640;1.165;977;5;19;16
37223;325;2023-11-07;879746700;468;279;19;0.227;6;CARTON_M;33;3;EN;353;158.0;6;1;1;inf;353_158.0;33_EN_3;2480868;14885208;1.362;973;6;19;16
37228;68;2023-11-07;843673001;429;368;24;0.133;2;CARTON_M;33;3;EN;353;4.0;13;1;1;inf;353_4.0;33_EN_3;3788928;7577856;0.266;978;2;19;16
37153;1370;2023-11-07;627612692;433;418;28;0.29;6;CARTON_M;31;3;EN;519;22.0;1;1;10;27200000000.0;519_22.0;31_EN_3;5067832;30406992;1.7399999999999998;1080;6;16;17
37152;1370;2023-11-07;627612730;467;393;25;0.27;4;CARTON_M;31;3;EN;519;22.0;5;1;10;27200000000.0;519_22.0;31_EN_3;4588275;18353100;1.08;1079;4;16;17
37151;1370;2023-11-07;627612721;427;399;26;0.27;4;CARTON_M;31;3;EN;519;22.0;3;1;10;27200000000.0;519_22.0;31_EN_3;4429698;17718792;1.08;1078;4;16;17
37127;6447;2023-11-07;799845935;441;224;63;0.48;1;CARTON_M;31;3;EN;1240;4.0;3;1;10;27200000000.0;1240_4.0;31_EN_3;6223392;6223392;0.48;1054;1;16;17
37141;1691;2023-11-07;550056631;560;260;19;0.25;1;CARTON_M;31;3;EN;290;210.0;6;1;10;27200000000.0;290_210.0;31_EN_3;2766400;2766400;0.25;1068;1;16;17
36246;6791;2023-11-07;807045672;529;319;40;0.263;4;CARTON_M;2;3;EN;290;332.0;3;1;11;27200000000.0;290_332.0;2_EN_3;6750040;27000160;1.052;1331;4;12;18
36233;6248;2023-11-07;836446141;413;335;43;0.277;4;CARTON_M;2;3;EN;290;135.0;5;1;11;27200000000.0;290_135.0;2_EN_3;5949265;23797060;1.108;1318;4;12;18
36243;11148;2023-11-07;807045576;505;192;77;0.285;3;CARTON_M;2;3;EN;290;218.0;3;1;11;27200000000.0;290_218.0;2_EN_3;7465920;22397760;0.855;1328;3;12;18
36229;1534;2023-11-07;547181108;460;230;22;0.145;1;CARTON_M;2;3;EN;282;3.0;5;1;11;27200000000.0;282_3.0;2_EN_3;2327600;2327600;0.145;1314;1;12;18
6061_3;1781;2023-11-07;841256123;264;113;47;0.12;19;CARTON_M;3;9;CX;1861;54.0;12;1;5;27200000000.0;1861_54.0;3_CX_9;1402104;26639976;9.12;245;19;42;19
6061_4;1781;2023-11-07;841256123;264;113;47;0.12;19;CARTON_M;3;9;CX;1861;54.0;12;1;5;27200000000.0;1861_54.0;3_CX_9;1402104;26639976;9.12;245;19;42;19
6055;139;2023-11-07;624641607;315;206;129;0.9;3;CARTON_M;3;9;CX;1274;335.0;43;1;5;27200000000.0;1274_335.0;3_CX_9;8370810;25112430;2.7;239;3;42;19
6063;139;2023-11-07;858648473;255;175;111;0.36;1;CARTON_M;3;9;CX;248;4.0;21;1;5;27200000000.0;248_4.0;3_CX_9;4953375;4953375;0.36;247;1;42;19
6078;444;2023-11-07;820245855;410;238;16;0.115;16;CARTON_M;3;9;CX;433;54.0;1;1;5;27200000000.0;433_54.0;3_CX_9;1561280;24980480;1.84;262;16;41;20
6053;3437;2023-11-07;871246946;250;168;61;0.42;7;CARTON_M;3;9;CX;1130;63.0;1;1;5;27200000000.0;1130_63.0;3_CX_9;2562000;17934000;2.94;237;7;41;20
6067;139;2023-11-07;858648393;294;216;132;0.86;2;CARTON_M;3;9;CX;248;9.0;24;1;5;27200000000.0;248_9.0;3_CX_9;8382528;16765056;1.72;251;2;41;20
6052;3437;2023-11-07;871246954;247;179;47;0.4;6;CARTON_M;3;9;CX;1130;63.0;5;1;5;27200000000.0;1130_63.0;3_CX_9;2078011;12468066;2.4000000000000004;236;6;41;20
6057_1;1781;2023-11-07;841256115;406;207;18;0.15;7;CARTON_M;3;9;CX;1861;18.0;12;1;5;27200000000.0;1861_18.0;3_CX_9;1512756;10589292;4.2;241;7;41;20
20297_3;10965;2023-11-11;884448011;127;104;15;0.033;1;CARTON_M;3;9;CX;2934;41.0;12;1;5;27200000000.0;2934_41.0;3_CX_9;198120;198120;0.099;410;1;41;20
23781_1;2459;2023-11-13;884477698;137;107;13;0.047;1;CARTON_M;3;9;CX;1153;41.0;12;1;5;27200000000.0;1153_41.0;3_CX_9;190567;190567;0.14100000000000001;589;1;41;20
23781_2;2459;2023-11-13;884477698;137;107;13;0.047;1;CARTON_M;3;9;CX;1153;41.0;12;1;5;27200000000.0;1153_41.0;3_CX_9;190567;190567;0.14100000000000001;589;1;41;20
2223;2753;2023-11-07;548057766;350;338;35;0.11;6;CARTON_M;10;1;CX;1756;3.0;1;1;8;40000000000.0;1756_3.0;10_CX_1;4140500;24843000;0.66;84;6;21;21
2271;1499;2023-11-07;533175751;260;286;37;0.16;8;CARTON_M;10;1;CX;557;10.0;5;1;8;40000000000.0;557_10.0;10_CX_1;2751320;22010560;1.28;132;8;21;21
2311;1429;2023-11-07;516276841;370;255;81;0.32;2;CARTON_M;10;1;CX;736;3.0;31;1;8;40000000000.0;736_3.0;10_CX_1;7642350;15284700;0.64;172;2;21;21
2312;909;2023-11-07;516276841;370;255;81;0.32;2;CARTON_M;10;1;CX;736;3.0;31;1;8;40000000000.0;736_3.0;10_CX_1;7642350;15284700;0.64;173;2;21;21
2306;909;2023-11-07;516276884;377;266;28;0.22;2;CARTON_M;10;1;CX;736;111.0;8;1;8;40000000000.0;736_111.0;10_CX_1;2807896;5615792;0.44;167;2;21;21
2203;909;2023-11-07;547194751;250;100;13;0.096;1;CARTON_M;10;1;CX;1092;3.0;8;1;8;40000000000.0;1092_3.0;10_CX_1;325000;325000;0.096;64;1;21;21
36249;1534;2023-11-07;627612721;427;399;26;0.27;4;CARTON_M;2;3;EN;519;22.0;3;1;11;27200000000.0;519_22.0;2_EN_3;4429698;17718792;1.08;1334;4;17;22
36252;1534;2023-11-07;627612730;467;393;25;0.27;2;CARTON_M;2;3;EN;519;22.0;5;1;11;27200000000.0;519_22.0;2_EN_3;4588275;9176550;0.54;1337;2;17;22
36220;3632;2023-11-07;799845927;478;230;60;0.485;1;CARTON_M;2;3;EN;1240;4.0;5;1;11;27200000000.0;1240_4.0;2_EN_3;6596400;6596400;0.485;1305;1;17;22
36219;3632;2023-11-07;799845994;488;218;61;0.46;1;CARTON_M;2;3;EN;1240;157.0;3;1;11;27200000000.0;1240_157.0;2_EN_3;6489424;6489424;0.46;1304;1;17;22
36261;5232;2023-11-07;551790205;422;246;15;0.124;4;CARTON_M;2;3;EN;883;4.0;5;1;11;27200000000.0;883_4.0;2_EN_3;1557180;6228720;0.496;1346;4;17;22
36221;3632;2023-11-07;799845935;441;224;63;0.48;1;CARTON_M;2;3;EN;1240;4.0;3;1;11;27200000000.0;1240_4.0;2_EN_3;6223392;6223392;0.48;1306;1;17;22
36217;3483;2023-11-07;869450024;450;302;45;0.44;1;CARTON_M;2;3;EN;1202;396.0;5;1;11;27200000000.0;1202_396.0;2_EN_3;6115500;6115500;0.44;1302;1;17;22
36215;1696;2023-11-07;869450008;450;300;45;0.4;1;CARTON_M;2;3;EN;1202;396.0;13;1;11;27200000000.0;1202_396.0;2_EN_3;6075000;6075000;0.4;1300;1;17;22
36216;3483;2023-11-07;869450016;450;300;45;0.4;1;CARTON_M;2;3;EN;1202;396.0;3;1;11;27200000000.0;1202_396.0;2_EN_3;6075000;6075000;0.4;1301;1;17;22
36212;3483;2023-11-07;552081208;462;261;40;0.307;1;CARTON_M;2;3;EN;1202;22.0;5;1;11;27200000000.0;1202_22.0;2_EN_3;4823280;4823280;0.307;1297;1;17;22
37134;1639;2023-11-07;624636234;476;300;50;0.56;2;CARTON_M;31;3;EN;216;4.0;6;1;10;27200000000.0;216_4.0;31_EN_3;7140000;14280000;1.12;1061;2;22;23
37145;1370;2023-11-07;879746671;472;267;18;0.227;6;CARTON_M;31;3;EN;353;158.0;1;1;10;27200000000.0;353_158.0;31_EN_3;2268432;13610592;1.362;1072;6;22;23
37146;1370;2023-11-07;879746785;486;274;20;0.213;4;CARTON_M;31;3;EN;353;158.0;5;1;10;27200000000.0;353_158.0;31_EN_3;2663280;10653120;0.852;1073;4;22;23
37149;1370;2023-11-07;879746793;500;312;21;0.25;3;CARTON_M;31;3;EN;353;374.0;1;1;10;27200000000.0;353_374.0;31_EN_3;3276000;9828000;0.75;1076;3;22;23
37124;10793;2023-11-07;545851340;478;156;61;0.455;2;CARTON_M;31;3;EN;1147;3.0;1;1;10;27200000000.0;1147_3.0;31_EN_3;4548648;9097296;0.91;1051;2;22;23
37126;3658;2023-11-07;869450008;450;300;45;0.4;1;CARTON_M;31;3;EN;1202;396.0;13;1;10;27200000000.0;1202_396.0;31_EN_3;6075000;6075000;0.4;1053;1;22;23
37150;1370;2023-11-07;879746751;495;320;29;0.26;1;CARTON_M;31;3;EN;353;374.0;6;1;10;27200000000.0;353_374.0;31_EN_3;4593600;4593600;0.26;1077;1;22;23
37156;1370;2023-11-07;548868366;479;289;15;0.23;2;CARTON_M;31;3;EN;577;3.0;5;1;10;27200000000.0;577_3.0;31_EN_3;2076465;4152930;0.46;1083;2;22;23
37144;1691;2023-11-07;550056578;551;258;21;0.25;1;CARTON_M;31;3;EN;290;4.0;1;1;10;27200000000.0;290_4.0;31_EN_3;2985318;2985318;0.25;1071;1;22;23
2296;909;2023-11-07;516276825;321;184;47;0.08;5;CARTON_M;10;1;CX;736;111.0;39;1;8;40000000000.0;736_111.0;10_CX_1;2776008;13880040;0.4;157;5;49;24
2264;909;2023-11-07;546965373;250;100;23;0.113;18;CARTON_M;10;1;CX;418;95.0;39;1;8;40000000000.0;418_95.0;10_CX_1;575000;10350000;2.0340000000000003;125;18;49;24
2238;2753;2023-11-07;542335366;334;246;15;0.15;8;CARTON_M;10;1;CX;1948;2.0;6;1;8;40000000000.0;1948_2.0;10_CX_1;1232460;9859680;1.2;99;8;49;24
2253;1499;2023-11-07;588601615;372;294;29;0.16;3;CARTON_M;10;1;CX;273;127.0;5;1;8;40000000000.0;273_127.0;10_CX_1;3171672;9515016;0.48;114;3;49;24
2307;1499;2023-11-07;516276884;377;266;28;0.22;3;CARTON_M;10;1;CX;736;111.0;8;1;8;40000000000.0;736_111.0;10_CX_1;2807896;8423688;0.66;168;3;49;24
2310;1429;2023-11-07;516276876;308;182;50;0.09;3;CARTON_M;10;1;CX;736;3.0;8;1;8;40000000000.0;736_3.0;10_CX_1;2802800;8408400;0.27;171;3;49;24
2297;1429;2023-11-07;516276825;321;184;47;0.08;3;CARTON_M;10;1;CX;736;111.0;39;1;8;40000000000.0;736_111.0;10_CX_1;2776008;8328024;0.24;158;3;49;24
2298;1499;2023-11-07;516276825;321;184;47;0.08;3;CARTON_M;10;1;CX;736;111.0;39;1;8;40000000000.0;736_111.0;10_CX_1;2776008;8328024;0.24;159;3;49;24
2304;1499;2023-11-07;516276850;343;182;49;0.09;2;CARTON_M;10;1;CX;736;111.0;31;1;8;40000000000.0;736_111.0;10_CX_1;3058874;6117748;0.18;165;2;49;24
2202;1499;2023-11-07;549189390;250;100;7;0.078;1;CARTON_M;10;1;CX;1092;1.0;24;1;8;40000000000.0;1092_1.0;10_CX_1;175000;175000;0.078;63;1;49;24
37209;3588;2023-11-07;838246101;460;311;30;0.205;3;CARTON_M;33;3;EN;1621;4.0;6;1;1;inf;1621_4.0;33_EN_3;4291800;12875400;0.615;959;3;21;25
37225;325;2023-11-07;879746769;488;302;27;0.23;3;CARTON_M;33;3;EN;353;374.0;3;1;1;inf;353_374.0;33_EN_3;3979152;11937456;0.6900000000000001;975;3;21;25
37218;325;2023-11-07;879746671;472;267;18;0.227;5;CARTON_M;33;3;EN;353;158.0;1;1;1;inf;353_158.0;33_EN_3;2268432;11342160;1.135;968;5;21;25
37222;325;2023-11-07;879746785;486;274;20;0.213;4;CARTON_M;33;3;EN;353;158.0;5;1;1;inf;353_158.0;33_EN_3;2663280;10653120;0.852;972;4;21;25
37229;68;2023-11-07;843672981;454;347;29;0.2;2;CARTON_M;33;3;EN;353;4.0;3;1;1;inf;353_4.0;33_EN_3;4568602;9137204;0.4;979;2;21;25
37224;68;2023-11-07;879746769;488;302;27;0.23;2;CARTON_M;33;3;EN;353;374.0;3;1;1;inf;353_374.0;33_EN_3;3979152;7958304;0.46;974;2;21;25
37215;1554;2023-11-07;550056615;362;281;69;0.16;1;CARTON_M;33;3;EN;290;210.0;5;1;1;inf;290_210.0;33_EN_3;7018818;7018818;0.16;965;1;21;25
37233;68;2023-11-07;627612730;467;393;25;0.27;1;CARTON_M;33;3;EN;519;22.0;5;1;1;inf;519_22.0;33_EN_3;4588275;4588275;0.27;983;1;21;25
6059_1;1781;2023-11-07;841256107;391;221;18;0.151;8;CARTON_M;3;9;CX;1861;2.0;12;1;5;27200000000.0;1861_2.0;3_CX_9;1555398;12443184;4.832;243;8;43;26
6059_2;1781;2023-11-07;841256107;391;221;18;0.151;8;CARTON_M;3;9;CX;1861;2.0;12;1;5;27200000000.0;1861_2.0;3_CX_9;1555398;12443184;4.832;243;8;43;26
6059_3;1781;2023-11-07;841256107;391;221;18;0.151;8;CARTON_M;3;9;CX;1861;2.0;12;1;5;27200000000.0;1861_2.0;3_CX_9;1555398;12443184;4.832;243;8;43;26
6059_4;1781;2023-11-07;841256107;391;221;18;0.151;8;CARTON_M;3;9;CX;1861;2.0;12;1;5;27200000000.0;1861_2.0;3_CX_9;1555398;12443184;4.832;243;8;43;26
6073;444;2023-11-07;874259611;428;251;18;0.11;6;CARTON_M;3;9;CX;433;182.0;1;1;5;27200000000.0;433_182.0;3_CX_9;1933704;11602224;0.66;257;6;43;26
6064;139;2023-11-07;858648457;257;175;111;0.36;2;CARTON_M;3;9;CX;248;4.0;24;1;5;27200000000.0;248_4.0;3_CX_9;4992225;9984450;0.72;248;2;43;26
6068;82;2023-11-07;859844839;322;206;130;0.9;1;CARTON_M;3;9;CX;248;9.0;4;1;5;27200000000.0;248_9.0;3_CX_9;8623160;8623160;0.9;252;1;43;26
